image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_43_4_1,0.1013,1.0245,0.2053,0.2002,0.2372,0.1579,0.4622,5.6164,1.4971,1.4005,2.2658,1.5643,5.32
CS_5057_5_B_44_1_1,0.0885,0.7672,0.1681,0.162,0.2052,0.1402,0.4208,4.6545,1.6088,1.5085,2.321,1.5903,4.5472
CS_5057_5_B_44_2_1,0.0827,0.7923,0.147,0.1542,0.1844,0.1237,0.412,5.9435,1.4517,1.5236,2.1355,1.5024,5.7228
CS_5057_5_B_44_3_1,0.119,1.2101,0.2509,0.2421,0.291,0.1893,0.6132,4.7889,1.4392,1.3181,2.3997,1.5957,4.7428
CS_5057_5_B_44_4_1,0.1145,1.4177,0.323,0.3218,0.3701,0.2252,0.6469,7.5134,2.4255,2.3815,3.2328,1.9738,7.2517
CS_5057_5_B_45_1_1,0.1416,1.8609,0.411,0.4065,0.4589,0.2754,0.768,7.0626,1.8003,2.2307,3.1628,1.9411,6.5992
CS_5057_5_B_45_2_1,0.097,1.0426,0.2042,0.1914,0.2483,0.1645,0.5814,6.5365,1.7612,1.441,2.5573,1.7028,6.2703
CS_5057_5_B_45_3_1,0.0567,0.4758,0.1027,0.0996,0.1277,0.0882,0.2707,5.8943,1.649,1.5384,2.2547,1.5619,5.6182
CS_5057_5_B_45_4_1,0.0592,0.5116,0.1057,0.1053,0.1323,0.0901,0.285,6.0468,1.7553,1.6095,2.2444,1.5288,5.8263
CS_5057_5_B_46_1_1,0.1053,1.0679,0.207,0.1935,0.2545,0.1723,0.6331,5.456,1.4354,1.4535,2.398,1.6411,5.3774
